centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.05,25,690.8600568997832,2809.883134724629,1178.593647918291,368871.37738167733
0.05,614,361.3456995408402,2785.018254689582,1348.4159374552505,434963.17133381404
0.05,521,840.7118609311572,2659.8031354495697,1557.3625904414507,438181.49907338945
0.05,15,1079.0915563719952,2774.1702273253363,1236.2532145657742,459644.3625318427
0.05,6,1044.7852838394406,2939.990734116363,1299.5332320794585,460024.2203024074
0.05,374,776.2392173741968,2453.636573014709,1365.6456581125703,401052.2000822586
0.05,289,540.7963245188763,2827.9763535939883,1348.8459191534557,431209.02521085617
0.05,454,757.8854466724471,2472.2712087709106,1398.177529146759,405053.92930006376
0.05,840,581.1040548097046,3505.3172559041677,1449.9434603474292,444296.01027322543
0.05,976,666.715192677214,2832.281985578704,1335.6167490462612,439893.18082418933
0.05,244,634.56173320516,3008.177833086626,1504.4822424043903,469735.3733274654
0.05,1066,447.0532731475431,3171.1654916492953,1551.299925437163,479594.9618066113
0.05,774,585.7318047812541,3131.391484324612,1554.0732593592252,475403.9625929714
0.05,105,353.9209039442777,2838.859845223668,1345.7848880212762,413125.18060330854
0.05,565,559.1179603859413,2827.6649340257986,1489.6695585228167,409300.0196903269
0.05,1058,371.37297573200635,2937.47978170942,1408.4128217617563,443504.8334366486
0.05,243,634.56173320516,3008.177833086626,1504.4822424043903,469735.3733274654
0.05,735,473.68569254473334,3824.682481169059,1437.6835467051178,408171.29896852945
0.05,865,1111.026554149465,3231.618678901451,1391.5061023103162,408412.28134549514
0.05,892,666.715192677214,2832.281985578704,1335.6167490462612,439893.18082418933
0.05,473,760.3226251653664,2464.4374057232594,1393.5167850867522,404512.69158830645
0.05,391,755.1946890362946,2493.486305660448,1404.3834132098298,405660.69419957936
0.05,724,327.9162742505038,3203.767032921025,1364.7744263444288,378831.00485094084
0.05,510,756.2018770464005,2482.3394674890646,1401.848032579764,405443.49860265985
0.05,287,541.1529850593039,2798.686327849634,1350.0348528347556,429342.8937110483
0.05,181,635.0385321625886,3009.0444407297105,1502.1849029766968,472858.32637883903
0.05,444,755.3405259555751,2519.009992563583,1403.31440899959,404983.0968774684
0.05,247,635.8613307348131,3002.391159337911,1497.3960048792437,476157.8374029109
0.05,827,505.47176201223095,2852.695989188135,1369.5062355801988,410226.57044010866
0.05,284,540.6280121706993,2811.7869392173784,1351.5691203305257,430092.1341050527
0.05,305,634.56173320516,3008.177833086626,1504.4822424043903,469735.3733274654
0.05,466,840.7118609311572,2659.8031354495697,1557.3625904414507,438181.49907338945
0.05,711,486.1767360818608,3011.146933468657,1197.6731646137641,389074.19358074816
0.05,834,498.70138933632387,2862.5393528477634,1382.617516802704,412899.0704174152
0.05,591,516.713890740672,3354.0175993516073,1446.4732072619013,451605.63313658297
0.05,353,841.7923612094257,2655.3674833695536,1553.7366538427148,439438.90620906674
0.05,147,634.56173320516,3008.177833086626,1504.4822424043903,469735.3733274654
0.05,180,541.8927595969767,2818.1508404684155,1336.635312905853,431491.54299415887
0.05,544,756.1578652051953,2519.737891866787,1399.297447524133,404183.0213111285
0.05,158,635.8613307348131,3002.391159337911,1497.3960048792437,476157.8374029109
0.05,440,754.8512074185056,2513.3535709073,1405.3303785363717,405466.2674691963
0.05,1017,761.4572090551958,2655.222393644547,997.5915695407884,397789.2800687854
0.05,535,840.0469597458539,2658.306711989458,1559.068747284975,436813.4102858134
0.05,499,841.7923612094257,2655.3674833695536,1553.7366538427148,439438.90620906674
0.05,607,311.4456886173516,3287.720234823349,1355.6434386247447,397030.28839162295
0.05,677,435.18195084696356,3084.135393584247,1463.733330455102,435403.37241145945
0.05,103,382.2276174409703,2891.156565756647,1207.0478639678554,395582.3328900718
0.05,320,546.417398776141,2761.880475598329,1336.1223710345405,426689.82732179965
0.05,48,836.9527021163786,2913.6731643736293,1215.6632537694225,393597.9066652873
0.05,693,532.7358750454766,3344.3765573159035,1636.4439104384246,458013.52442159125
0.05,89,352.2439463445649,2845.0074540729092,1352.096215893142,414122.00196285883
0.05,263,540.7963245188763,2827.9763535939883,1348.8459191534557,431209.02521085617
0.05,712,314.13521069897286,3276.1448321934345,1370.1837011051393,376675.6749783533
0.05,796,551.3168482750591,2897.5479690280636,1260.237405475254,393662.92341444374
0.05,330,248.47220795117371,3252.322562707848,1492.92845559021,482434.6651132791
0.05,106,360.7159683982998,2833.6375159328168,1320.368576883369,409630.2622620188
0.05,755,853.8574425328046,2879.738663026649,1327.5924661000179,391486.36016997637
0.05,1042,481.5848612446207,2864.397493999712,1430.0980334574901,437140.27608040604
0.05,786,506.887095771415,2851.8904114414545,1366.779355557543,409726.05019402
0.05,524,755.3405259555751,2519.009992563583,1403.31440899959,404983.0968774684
0.05,1018,859.1789725128924,2727.288723833219,933.3426063475252,380393.6944396131
0.05,922,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,265,541.2798091097645,2827.2165679478567,1344.079944593024,431485.8239376548
0.05,232,540.6280121706993,2811.7869392173784,1351.5691203305257,430092.1341050527
0.05,605,311.4456886173516,3287.720234823349,1355.6434386247447,397030.28839162295
0.05,932,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,226,540.5442432350615,2822.198802289489,1351.2507853042073,430727.40161976515
0.05,382,841.7923612094257,2655.3674833695536,1553.7366538427148,439438.90620906674
0.05,364,840.0469597458539,2658.306711989458,1559.068747284975,436813.4102858134
0.05,953,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,914,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,533,760.3226251653664,2464.4374057232594,1393.5167850867522,404512.69158830645
0.05,636,592.9661459483823,6284.456970053498,1390.66835160945,409659.7764578453
0.05,4,1076.1910075443839,2787.8155850032504,1241.5470372765014,459883.0036322707
0.05,954,785.063931248695,3072.9026527743217,1474.0531108808518,485848.32110958046
0.05,972,666.715192677214,2832.281985578704,1335.6167490462612,439893.18082418933
0.05,426,843.0762568567379,2627.031802135976,1555.4963794687578,431113.32964602404
0.05,833,495.6232334732778,2874.5818759253416,1389.072026245632,414533.7369194594
0.05,961,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,83,552.853163436635,2987.7503593010842,1008.7691235770975,375495.2406516552
0.05,222,541.1529850593039,2798.686327849634,1350.0348528347556,429342.8937110483
0.05,55,616.0222151795764,2730.523028352338,1225.7464666288097,355033.842806412
0.05,1062,378.91869709973037,2893.406466272341,1386.3125940105238,436182.89878202847
0.05,793,666.7105321784238,3191.3083515568674,1488.9991300148038,432660.67307551444
0.05,707,529.3177534547651,3551.42884841921,1419.357637578356,411431.1691352474
0.05,771,593.3995702294976,2609.9664977808497,1361.5665589099317,511207.7966610285
0.05,172,635.8613307348131,3002.391159337911,1497.3960048792437,476157.8374029109
0.05,994,627.2120994995641,3004.850204893802,1227.164606224869,427254.3631888349
0.05,622,399.8193442065824,2915.2572129790565,1187.8068683068477,406036.3806918071
0.05,572,619.2585527160918,2907.8013875161328,1424.2027045123507,388369.084845416
0.05,352,755.3405259555751,2519.009992563583,1403.31440899959,404983.0968774684
0.05,749,1118.311380568446,3803.468661914665,1299.4015733198107,395602.2760617583
0.05,554,617.0589059863789,3341.015106249568,1630.3885441826528,403790.4747937824
0.05,760,494.00807737161097,2887.2568608192437,1392.982837899082,415799.86929700134
0.05,240,540.6280121706993,2811.7869392173784,1351.5691203305257,430092.1341050527
0.05,28,909.570413391446,3431.4878008139376,1156.2150689081247,354878.56832026935
0.05,368,760.3226251653664,2464.4374057232594,1393.5167850867522,404512.69158830645
0.05,130,635.0385321625886,3009.0444407297105,1502.1849029766968,472858.32637883903
0.05,575,665.8885321332683,3059.349037250153,1671.9445681278455,433314.3604573858
0.05,933,666.5134779164935,2825.6532828791665,1335.9484554451315,438796.76097649685
0.05,108,769.9188831543366,3276.4762121077765,1590.2098998422134,449467.8028547049
0.05,207,540.7963245188763,2827.9763535939883,1348.8459191534557,431209.02521085617
0.05,1048,371.00936323599785,2957.2133724119267,1409.2776723634208,446861.13714776444
