observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
478,-0.19775551295672286,-1.0404199214244962,-0.699216756169167,-0.5808008698081341
255,-0.33355045547081663,-4.643272718589765,-0.8894250474551917,-0.6299367265849195
505,-0.2915148922631149,-0.6619220518026016,-1.2298031884146854,-0.6244336723900417
404,-0.16155944042882606,-0.7217717559669045,-0.7138259106510504,-0.7637609535659502
691,-0.7573076256302019,-0.6408477370830831,-2.1950007346679663,-1.4530750016085046
736,-1.4334673957370172,-1.3989572449005525,-2.565468300771604,-2.079782062737845
94,-0.2635299614944507,-0.8398255743991649,-0.8162417026816466,-0.7924772473055434
321,-0.16425968418897285,-0.6550358561329477,-1.1662842727949363,-0.9469786865073199
854,-0.6523889895158,-0.9655775277793291,-3.4476310891359323,-2.611128594607726
988,-0.4417455868784819,-1.08137631259239,-0.7652400192376219,-1.2175840787626704
609,-1.552571990232552,-1.2326171055986914,-0.6483085009743818,-0.7157503828120748
350,-1.0492605231654484,-1.227888198941091,-3.1844510160275554,-2.611823228690132
379,-0.2505808598701245,-1.6260822755253697,-1.6230310885785668,-2.5491830422295068
116,-0.2296654815360512,-0.6177938013561619,-0.8524343351809212,-2.4376539760755542
1074,-0.19439331193251044,-1.2821831503552714,-0.9474367588726159,-0.7792852865441235
484,-0.549075609483575,-0.5956755913014954,-0.8373044300513072,-1.3644966958003744
118,-0.8525264146242428,-10.436344092553155,-0.7657054418732119,-1.0010976279912183
246,-0.6307243983266586,-0.8683690412435846,-0.6946324635312627,-0.6441930657348067
395,-0.3087934465277028,-0.6871923277910034,-1.201008890305158,-2.234662438077715
819,-0.7691211508566744,-0.8010522582515931,-0.9094163506063103,-1.0211671656939334
251,-0.19341748700736294,-0.8328029006635408,-0.7041731363053232,-0.8822067557568557
131,-0.7957796273638673,-1.1141252484123259,-0.9287363120221424,-1.6868968933394117
734,-1.3072761090617302,-1.5545982220708283,-0.6403330079156871,-0.8009410375035794
676,-0.3115586102621535,-9.055071461959336,-0.9764753914503094,-0.8886772073425249
957,-1.9910993618629187,-1.1596067415768905,-0.9793928678014151,-0.6013035547261357
746,-1.6160262836134098,-1.3279215488178115,-2.9057442206743316,-2.3253306616157
213,-0.7866114717506288,-0.6939571502652641,-0.7560544061214487,-0.6026113610497144
617,-0.4737843083513983,-1.3870117287755783,-0.7855673226489688,-1.1597393465235761
414,-0.23466763911587873,-1.1904004024644983,-0.8212172028619821,-1.3241275047735839
312,-0.16300950957427385,-0.9606685482063201,-0.8354253014568105,-0.5832475696916144
58,-1.310452586960228,-1.2093270551057609,-0.5992716092759562,-0.6578200252314224
682,-0.8407633728321973,-0.8381808833441617,-0.8125908465082123,-0.975313395837244
699,-1.3080410418660195,-1.0724896341294354,-0.6978236080575744,-2.477550433977611
597,-0.7970639309751086,-0.770186623003742,-0.8032754036934346,-0.6754212918855399
167,-1.583547746131156,-0.7298550829451497,-1.6776589051910633,-0.6260443370513641
926,-0.3324897404685379,-0.8366675730477644,-0.7977785329433715,-3.2089551892622112
686,-0.3540771427414954,-0.873671574767904,-1.021277654694738,-0.5982777189231187
811,-0.3951966127479579,-0.7398907473542502,-0.7360436191317452,-0.9801449469480171
315,-1.028605676055405,-0.6047126116155085,-1.3053472161794233,-1.5945308066703643
555,-0.5877238388892819,-0.9275069171314326,-1.1744033581105695,-0.9682126880862176
482,-0.29117812331565346,-0.7822212183063562,-1.1754439616064027,-0.586198541737978
235,-0.2378216574681802,-0.5821212309064655,-1.0897912058773342,-0.5872407343532845
238,-0.18345157586774152,-2.9077671120583757,-0.9950735467797217,-0.6296587157922099
282,-0.9198894076399897,-0.6371986359804731,-1.0449329541653902,-0.660596213594857
621,-1.5428097122205633,-1.4877548530842966,-0.9790364738936292,-1.1672005193373456
928,-0.17982859870683907,-0.8194854403129224,-1.5323369435294085,-0.896019054903863
380,-0.7413011545599563,-2.128119027574422,-1.8779252422180115,-1.0217868629009335
655,-2.834623062319123,-1.891864663859537,-1.5734738268932664,-1.4380901417418523
