centile,observations,WM-hypointensities,Right-Lateral-Ventricle,Right-Amygdala,CortexVol
0.05,1009,624.447714559611,487.61082696582616,1089.365120013483,375915.4317119843
0.05,338,133.81521014080568,1919.7103883382579,1536.9004649739918,472619.9317895884
0.05,1034,338.3018888976236,1135.8344574751409,1354.449836631231,432809.09977747
0.05,910,816.217788279678,2561.4793479234413,1521.3894372514892,489739.9053641398
0.05,713,-244.8690073722455,309.59530795373576,1297.1917307124493,373138.38308059017
0.05,494,722.8611242747222,2256.940953737583,1585.487705975062,445366.63571477646
0.05,975,657.730249613581,1272.002213966838,1289.5669115893763,436175.3032946118
0.05,216,533.2881267097362,2290.138770828513,1543.4336085010364,478103.7518381263
0.05,1005,277.8395056727119,489.2787990480647,1114.5823469434467,391015.67136761546
0.05,11,1079.3028828249187,2121.9376157879105,1330.5411405713455,464744.0100697052
0.05,452,550.4913345531093,935.6379873057613,1350.7092725502175,396269.7441001705
0.05,212,357.7707001969038,946.5864308929249,1305.6942671665308,429042.0912192674
0.05,46,788.7936723968364,2328.078260995144,1377.8097239655517,440309.51365651673
0.05,571,-537.2242692571799,1194.55278543458,1475.3524142798317,361851.47981955373
0.05,649,233.79426174401988,1603.7322001853472,933.3105860019939,344639.8258472138
0.05,512,703.3058414062601,2181.7515332898747,1577.3206787380718,449904.6565569007
0.05,393,550.4913345531093,935.6379873057613,1350.7092725502175,396269.7441001705
0.05,513,714.6573012360988,2230.4709302656156,1582.8846463113978,447618.0306379649
0.05,956,652.0518215966866,1266.6464049635406,1289.2140634903103,438391.6188263454
0.05,363,728.539552291612,2262.2967627408834,1585.8405540741273,443150.3201830431
0.05,1028,505.69271875772745,2288.751076595763,1580.828995996038,477783.33027057047
0.05,148,389.7695607568677,932.3874121053914,1308.8448482899353,415827.8750658221
0.05,495,523.886915784795,815.0179143389814,1335.8987992638527,400875.1234039202
0.05,1019,685.7823143738107,1167.943234575563,1343.3424161175128,416220.597276472
0.05,776,352.78826550791837,1065.4541048118708,1353.8919742022738,428304.7927519229
0.05,809,321.7797660974296,1588.554876243301,1460.5740161880876,502123.6610771894
0.05,439,564.3735856086225,967.46381978102,1353.665180312948,391802.0336452487
0.05,486,722.8611242747222,2256.940953737583,1585.487705975062,445366.63571477646
0.05,765,352.4492600246215,757.2280063369335,1347.6426891819394,418084.70900669746
0.05,62,279.65486610251753,383.19670197013875,1277.593516197052,384829.34647030063
0.05,704,-97.30602685589702,-46.09771900572923,1295.360981333129,373620.9753758111
0.05,145,383.004411082257,1027.13166034391,1314.2141425025861,422287.75484541006
0.05,688,375.43653084316077,2469.353015372203,1622.339369848362,481940.885318645
0.05,537,728.539552291612,2262.2967627408834,1585.8405540741273,443150.3201830431
0.05,386,550.4913345531093,935.6379873057613,1350.7092725502175,396269.7441001705
0.05,666,529.7509018031287,2507.66516157334,1551.8860085605588,475135.22616984596
0.05,91,176.78747468789447,1991.3115598306622,1508.315117395492,449529.6572003519
0.05,966,816.217788279678,2561.4793479234413,1521.3894372514892,489739.9053641398
0.05,33,632.8315287524658,1059.7153415072416,1148.2374098680348,386709.8321955338
0.05,1008,288.0948996941994,-204.52307733987436,1134.17596222742,358394.7662921457
0.05,189,547.1703777652459,2321.964603303807,1546.3895162637657,473636.0413832045
0.05,1032,467.39091878984004,1553.0398086371042,1589.4897775975162,462484.88814224495
0.05,82,294.4100533957069,583.586061705696,1273.3238385614284,388463.39712854824
0.05,594,-555.5886725749638,1664.337406623311,1339.7691056511183,402719.8150440202
0.05,193,383.004411082257,1027.13166034391,1314.2141425025861,422287.75484541006
0.05,843,268.27347467335596,1221.1396866021632,1311.3616092669067,417455.2587203127
0.05,160,552.9696211468183,2275.335016342079,1543.1718393639487,469300.4045017066
0.05,464,722.8611242747222,2256.940953737583,1585.487705975062,445366.63571477646
0.05,602,-456.87726263852915,3299.825376370477,1552.5435911426653,452616.34698402893
0.05,293,541.4919497483568,2316.6087943005095,1546.0366681646997,475852.35691493785
0.05,818,243.55882769333266,1314.2189537200602,1404.7671100826883,504616.6179396191
0.05,276,369.122160026743,995.3058278686358,1311.2582347398582,426755.4653003319
0.05,163,533.2881267097362,2290.138770828513,1543.4336085010364,478103.7518381263
0.05,759,-70.41184452932657,423.4715883711888,1204.329038544613,508207.07213843457
0.05,857,-321.20729218320434,397.0978004037679,1363.2538930898477,383924.135614872
0.05,340,65.71229482770696,1349.1737118759793,1553.4701142755523,462502.0035292549
0.05,679,394.99181371162,2544.5424358199107,1630.5063970853512,477402.8644765208
0.05,552,28.747834908301684,-345.9902443746014,1485.6676301607995,364505.76235423563
0.05,1007,240.85745515540202,94.37549649948596,1124.5201252951456,383996.3184646898
0.05,794,-304.471425997652,-1042.6216814126992,931.6850946385508,456880.674375542
0.05,508,728.539552291612,2262.2967627408834,1585.8405540741273,443150.3201830431
0.05,5,1149.2514382002857,1987.8989641137805,1360.0300082988042,437490.94204171095
0.05,451,564.3735856086225,967.46381978102,1353.665180312948,391802.0336452487
0.05,1068,111.07262522456404,1034.353964617174,1339.942242071192,433831.3839516336
0.05,211,369.122160026743,995.3058278686358,1311.2582347398582,426755.4653003319
0.05,580,567.9131754662103,2394.085392158646,1552.6807816039006,488427.38245861034
0.05,0,1154.6837675175339,2275.263406665741,1361.1160530910058,444768.049104099
0.05,438,568.0496821342485,953.1216814239297,1352.4744165434977,389618.89340349234
0.05,127,388.80365446382916,980.5020733821975,1310.99646560277,417952.11796391185
0.05,837,-40.234139642031096,499.6302224105784,1222.1989805354888,508133.9062270343
0.05,102,1.0529961665693008,498.1684138781511,1279.546427293815,394436.4944265263
