centile,observations,response_var_0,response_var_1
0.25,569,2.4655155109376183,1146.9343608681452
0.25,570,2.4670015909307876,1162.635514760507
0.25,577,2.5215777705882996,1327.549100164703
0.25,580,2.4798605699373257,999.5400423033573
0.25,581,2.493111574320968,967.6418043681961
0.25,587,2.483182667819255,991.7129061510301
0.25,590,2.47808422242827,1208.497523207929
0.25,595,2.475367160692146,1214.0289269244183
0.25,598,2.4898050617754697,975.7672600145283
0.25,602,2.507225931190912,436.42010225922036
0.25,605,2.328421566759848,2098.1655700596234
0.25,608,2.501548418903421,1225.106682277397
0.25,619,2.470140470616723,1268.9074375322018
0.25,621,2.4633779484289993,1283.9245139464642
0.25,622,2.4583478432839705,1054.502048279493
0.25,626,2.4898050617754697,975.7672600145283
0.25,636,2.483182667819255,991.7129061510301
0.25,638,2.4482084869963447,1184.6108500354294
0.25,639,2.5321360604146474,654.7296995482451
0.25,640,2.493111574320968,967.6418043681961
0.25,644,2.493111574320968,967.6418043681961
0.25,648,2.5490288343094694,1114.1693677238563
0.25,656,2.510116906073573,1221.549365501546
0.25,660,2.598204869656018,995.0975562177607
0.25,665,2.500977577421696,1086.9875384625257
0.25,666,2.4929204417243858,1042.2336364499465
0.25,668,2.4065472489513793,1893.5280030612935
0.25,676,2.433629269572443,1213.403012227027
0.25,689,2.476820355711608,1253.5860508340324
0.25,691,2.5091445826455248,1004.7008886369933
0.25,693,2.4263126313403274,1846.423994469132
0.25,698,2.5043042523682133,1079.048088052956
0.25,714,2.533491353661625,809.4713236355101
0.25,719,2.510116906073573,1221.549365501546
0.25,729,2.4864964568116674,983.7897901068579
0.25,742,2.5639371014291306,782.7332765540768
0.25,744,2.5181471977962073,1335.172152440875
0.25,745,2.5490288343094694,1114.1693677238563
0.25,755,2.473489128958096,1261.2860810224277
0.25,756,2.533491353661625,809.4713236355101
0.25,774,2.385223101093507,1304.0870895379835
0.25,781,2.4573678611041,1308.3961203617596
0.25,784,2.513492438138276,1213.9215871893812
0.25,787,2.5306724756427585,1028.1662914967717
