observations,centile,WM-hypointensities
151,0.05,575.3684386886094
151,0.25,924.5315981006565
151,0.5,1167.2312469756457
151,0.75,1409.9308958506347
151,0.95,1759.0940552626835
152,0.05,413.77537683357536
152,0.25,772.0524226434715
152,0.5,1021.0870383356047
152,0.75,1270.1216540277378
152,0.95,1628.3986998376345
153,0.05,421.86038598891275
153,0.25,759.805014743321
153,0.5,994.7067806569818
153,0.75,1229.6085465706424
153,0.95,1567.553175325048
154,0.05,409.0569125479317
154,0.25,753.0778681476752
154,0.5,992.2032251019705
154,0.75,1231.3285820562664
154,0.95,1575.349537656008
155,0.05,421.86038598891275
155,0.25,759.805014743321
155,0.5,994.7067806569818
155,0.75,1229.6085465706424
155,0.95,1567.553175325048
156,0.05,567.4573450100652
156,0.25,925.734390819963
156,0.5,1174.7690065120962
156,0.75,1423.8036222042297
156,0.95,1782.0806680141238
157,0.05,421.6864705121184
157,0.25,770.8496299241673
157,0.5,1013.5492787991532
157,0.75,1256.2489276741433
157,0.95,1605.4120870861911
158,0.05,567.4573450100652
158,0.25,925.734390819963
158,0.5,1174.7690065120962
158,0.75,1423.8036222042297
158,0.95,1782.0806680141238
159,0.05,578.570564014527
159,0.25,921.5674272453991
159,0.5,1159.9809483383183
159,0.75,1398.3944694312386
159,0.95,1741.3913326621082
16,0.05,917.7241939842763
16,0.25,1460.8024054868097
16,0.5,1838.2903726173242
16,0.75,2215.778339747838
16,0.95,2758.856551250369
160,0.05,571.4201268697173
160,0.25,909.838673939556
160,0.5,1145.069855502175
160,0.75,1380.301037064795
160,0.95,1718.7195841346315
161,0.05,413.77537683357536
161,0.25,772.0524226434715
161,0.5,1021.0870383356047
161,0.75,1270.1216540277378
161,0.95,1628.3986998376345
162,0.05,424.88859583803617
162,0.25,767.8854590689077
162,0.5,1006.2989801618268
162,0.75,1244.7125012547467
162,0.95,1587.7093644856168
163,0.05,575.3684386886094
163,0.25,924.5315981006565
163,0.5,1167.2312469756457
163,0.75,1409.9308958506347
163,0.95,1759.0940552626835
164,0.05,575.5423541654044
164,0.25,913.4869829198122
164,0.5,1148.3887488334726
164,0.75,1383.2905147471336
164,0.95,1721.2351435015398
165,0.05,424.88859583803617
165,0.25,767.8854590689077
165,0.5,1006.2989801618268
165,0.75,1244.7125012547467
165,0.95,1587.7093644856168
166,0.05,424.88859583803617
166,0.25,767.8854590689077
166,0.5,1006.2989801618268
166,0.75,1244.7125012547467
166,0.95,1587.7093644856168
167,0.05,424.88859583803617
167,0.25,767.8854590689077
167,0.5,1006.2989801618268
167,0.75,1244.7125012547467
167,0.95,1587.7093644856168
168,0.05,421.6864705121184
168,0.25,770.8496299241673
168,0.5,1013.5492787991532
168,0.75,1256.2489276741433
168,0.95,1605.4120870861911
169,0.05,575.3684386886094
169,0.25,924.5315981006565
169,0.5,1167.2312469756457
169,0.75,1409.9308958506347
169,0.95,1759.0940552626835
17,0.05,892.7080944969864
17,0.25,1237.672720151857
17,0.5,1477.454012260994
17,0.75,1717.2353043701296
17,0.95,2062.1999300250027
170,0.05,421.86038598891275
170,0.25,759.805014743321
170,0.5,994.7067806569818
170,0.75,1229.6085465706424
170,0.95,1567.553175325048
171,0.05,424.88859583803617
171,0.25,767.8854590689077
171,0.5,1006.2989801618268
171,0.75,1244.7125012547467
171,0.95,1587.7093644856168
172,0.05,567.4573450100652
172,0.25,925.734390819963
172,0.5,1174.7690065120962
172,0.75,1423.8036222042297
172,0.95,1782.0806680141238
173,0.05,424.88859583803617
173,0.25,767.8854590689077
173,0.5,1006.2989801618268
173,0.75,1244.7125012547467
173,0.95,1587.7093644856168
174,0.05,424.88859583803617
174,0.25,767.8854590689077
174,0.5,1006.2989801618268
174,0.75,1244.7125012547467
174,0.95,1587.7093644856168
175,0.05,413.77537683357536
175,0.25,772.0524226434715
175,0.5,1021.0870383356047
175,0.75,1270.1216540277378
175,0.95,1628.3986998376345
176,0.05,553.4830069685378
176,0.25,924.3187139003272
176,0.5,1182.0827231795597
176,0.75,1439.8467324587925
176,0.95,1810.6824393905786
177,0.05,424.88859583803617
177,0.25,767.8854590689077
177,0.5,1006.2989801618268
177,0.75,1244.7125012547467
177,0.95,1587.7093644856168
179,0.05,575.3684386886094
179,0.25,924.5315981006565
179,0.5,1167.2312469756457
179,0.75,1409.9308958506347
179,0.95,1759.0940552626835
18,0.05,909.0605314446037
18,0.25,1253.0220877585311
18,0.5,1492.1061568924429
18,0.75,1731.190226026353
18,0.95,2075.151782340279
180,0.05,399.80103879204773
180,0.25,770.6367457238345
180,0.5,1028.4007550030676
180,0.75,1286.164764282301
180,0.95,1657.0004712140878
182,0.05,424.5827172545271
182,0.25,763.9541345395419
182,0.5,999.8476461917322
182,0.75,1235.7411578439207
182,0.95,1575.1125751289364
184,0.05,413.77537683357536
184,0.25,772.0524226434715
184,0.5,1021.0870383356047
184,0.75,1270.1216540277378
184,0.95,1628.3986998376345
187,0.05,421.86038598891275
187,0.25,759.805014743321
187,0.5,994.7067806569818
187,0.75,1229.6085465706424
187,0.95,1567.553175325048
188,0.05,424.5827172545271
188,0.25,763.9541345395419
188,0.5,999.8476461917322
188,0.75,1235.7411578439207
188,0.95,1575.1125751289364
189,0.05,578.2646854310188
189,0.25,917.636102716036
189,0.5,1153.5296143682237
189,0.75,1389.4231260204126
189,0.95,1728.7945433054301
19,0.05,1026.4695783517136
19,0.25,1406.4060767852238
19,0.5,1670.4959507566896
19,0.75,1934.5858247281544
19,0.95,2314.5223231616637
190,0.05,578.570564014527
190,0.25,921.5674272453991
190,0.5,1159.9809483383183
190,0.75,1398.3944694312386
190,0.95,1741.3913326621082
191,0.05,421.86038598891275
191,0.25,759.805014743321
191,0.5,994.7067806569818
191,0.75,1229.6085465706424
191,0.95,1567.553175325048
192,0.05,575.3684386886094
192,0.25,924.5315981006565
192,0.5,1167.2312469756457
192,0.75,1409.9308958506347
192,0.95,1759.0940552626835
193,0.05,424.5827172545271
193,0.25,763.9541345395419
193,0.5,999.8476461917322
193,0.75,1235.7411578439207
193,0.95,1575.1125751289364
194,0.05,578.570564014527
194,0.25,921.5674272453991
194,0.5,1159.9809483383183
194,0.75,1398.3944694312386
194,0.95,1741.3913326621082
195,0.05,421.6864705121184
195,0.25,770.8496299241673
195,0.5,1013.5492787991532
195,0.75,1256.2489276741433
195,0.95,1605.4120870861911
196,0.05,409.0569125479317
196,0.25,753.0778681476752
196,0.5,992.2032251019705
196,0.75,1231.3285820562664
196,0.95,1575.349537656008
197,0.05,421.6864705121184
197,0.25,770.8496299241673
197,0.5,1013.5492787991532
197,0.75,1256.2489276741433
197,0.95,1605.4120870861911
199,0.05,424.5827172545271
